PHIÊN BẢN,VF 3
KÍCH THƯỚC,
Chiều dài cơ sở (mm),2.075
Dài x Rộng x Cao (mm),3.190 x 1.679 x 1.622
Khoảng sáng gầm xe không tải (mm),191
Dung tích khoang chứa hành lý (L) - Có hàng ghế cuối,36
Dung tích khoang chứa hành lý (L) - Gập hàng ghế cuối,285
Đường kính quay đầu tối thiểu (m),"8,1"
TẢI TRỌNG,
Trọng lượng không tải (kg),857
Sức chứa (kg),300
Tải trọng hành lý nóc xe (kg),50
HỆ THỐNG TRUYỀN ĐỘNG,
ĐỘNG CƠ,
Công suất tối đa (kW),32
Mô men xoắn cực đại (Nm),110
Tốc độ tối đa (km/h) duy trì 1 phút,"100 km/h khi dung lượng pin >50%,
với mọi điều kiện thời tiết"
Tăng tốc 0 - 50 km/h (s),"5,3"
Tăng tốc 0 - 100 km/h (s),"19,3"
Mức tiêu thụ NL (hỗn hợp) (kWh/100 km),9 kWh/100 km (NEDC)
PIN,
Loại pin,LFP
Dung lượng pin (kWh) - khả dụng,"18,64"
Quãng đường chạy một lần sạc đầy (km) - Điều kiện tiêu chuẩn NEDC,210
Tính năng sạc nhanh,Có
Hệ thống phanh tái sinh,Có
Thời gian nạp pin bình thường (giờ),5 giờ (10 - 70%)
Thời gian nạp pin nhanh (phút),36 phút (10 - 70%)
THÔNG SỐ TRUYỀN ĐỘNG KHÁC,
Cách chuyển số,Tích hợp vào cần lái
Dẫn động,RWD
Chọn chế độ lái,Có (Eco/Normal)
Chế độ thay đổi tốc độ đến dừng,Có (Lăn/Bò)
KHUNG GẦM,
GIẢM XÓC,
Hệ thống treo - trước,"Độc lập, MacPherson"
Hệ thống treo - sau,"Phụ thuộc, trục cứng với thanh xoắn Panhard"
PHANH,
Phanh trước,"Phanh đĩa, calip nổi"
Phanh sau,Phanh tay trống
VÀNH VÀ LỐP BÁNH XE,
Kích thước lốp & La-zăng,175/75R16
Bộ vá lốp,Có
KHUNG GẦM KHÁC,
Trợ lực lái,Có
Thanh cân bằng trước,Có
NGOẠI THẤT,
Đèn pha,Halogen
Đèn hậu,Halogen
Đeǹ định vị,Halogen
Thanh gia cường cửa xe,Có
Điều chỉnh cốp sau,Chỉnh cơ
Cánh hướng gió,Tích hợp vào cốp
Cơ chê ́đóng mở cổng sac̣,Chỉnh cơ
NỘI THẤT & TIỆN NGHI,
GHẾ TOÀN XE,
Số chỗ ngồi,4
Chất liệu bọc ghế,Nỉ
GHẾ LÁI,
Ghế lái - điều chỉnh hướng,Chỉnh cơ 4 hướng
Tựa đầu ghế lái,Có - tích hợp
GHẾ PHỤ,
Ghế phụ - điều chỉnh hướng,Chỉnh cơ 4 hướng
Tựa đầu ghế phụ,Có - tích hợp
Lên xuống dễ dàng (lên/xuống từ hàng thứ 2),Có
GHẾ HÀNG 2,
Hàng ghế thứ 2 điều chỉnh gập tỷ lệ,Gập hoàn toàn
Tựa đầu ghế hàng 2,Có - cố định
ĐIỀU HÒA KHÔNG KHÍ,
Hệ thống điều hòa,"Chỉnh cơ, 1 vùng"
