model_id|edition_id|price_list_vnd|price_promo_vnd|promo_label|vat_included|battery_included|valid_from|valid_to|updated_at|source_url
VF3|Eco|285000000|270750000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf3.html
VF3|Plus|296000000|281200000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf3.html
VF5|Plus|496000000|471200000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf5.html
VF6|Eco|646000000|613700000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf6.html
VF6|Plus|699000000|664050000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf6.html
VF7|Eco|740000000|703000000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf7.html
VF7|Plus|830000000|788500000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf7.html
VF7|PlusCaptain|850000000|807500000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf7.html
VFMPV7|Eco|750000000|712500000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://vinfastauto.com/vn_vi/dat-coc-xe-vf-mpv7
VF2|TieuChuan|188000000|178600000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://vinfastauto.com/vn_vi/dat-coc-xe-vf2
VF8|Eco|898000000|853100000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-vf8.html
VF8|Plus|1079000000|1025050000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-vf8.html
VF9|Eco|1348000000|1280600000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-vf9.html
VF9|Plus|1529000000|1452550000|Ưu đãi đặt cọc 2026|t|t|2026-07-01||2026-08-10T03:38:48Z|https://shop.vinfastauto.com/vn_vi/dat-coc-xe-vf9.html
