model_code|version_name|spec_category|spec_key|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 5||Kích thước|length_mm|3967|mm|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 103.6, 348.5, 135.7]|p05_b02|0.98
VF 5||Kích thước|width_mm|1723|mm|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 103.6, 348.5, 135.7]|p05_b02|0.98
VF 5||Kích thước|height_mm|1579|mm|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 103.6, 348.5, 135.7]|p05_b02|0.98
VF 5||Kích thước & Trọng lượng|wheelbase_mm|2514|mm|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 195.8, 358.6, 228.6]|p05_b02|0.98
VF 5||Kích thước & Trọng lượng|seats|5|chỗ|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 195.8, 358.6, 228.6]|p05_b02|0.98
VF 5||Hệ thống hỗ trợ lái nâng cao ADAS|Tính năng hỗ trợ lái|6||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 284.5, 355.3, 314.9]|p05_b02|0.98
VF 5||Hệ thống hỗ trợ lái nâng cao ADAS|Tính năng thông minh|21||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[64.0, 284.5, 355.3, 314.9]|p05_b02|0.98
VF 5||Hệ thống hỗ trợ lái nâng cao ADAS|Cảnh báo phương tiện cắt ngang phía sau|Hỗ trợ phát hiện vật cản hay phương tiện di chuyển từ phía sau hoặc hai bên, đặc biệt là các điểm mù.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[909.2, 100.6, 1246.0, 297.6]|p05_b02|0.98
VF 5||Hệ thống hỗ trợ lái nâng cao ADAS|Cảnh báo mở cửa|Hỗ trợ và cảnh báo khi có chướng ngại vật, xe hoặc người từ hai bên hoặc phía sau, giúp tránh va chạm khi mở cửa xe.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[1276.3, 100.6, 1609.7, 297.6]|p05_b02|0.98
VF 5||Hệ thống hỗ trợ lái nâng cao ADAS|Cảnh báo điểm mù|Cảm biến giúp phát hiện người hoặc xe từ phía sau, đưa ra cảnh báo để người lái chú ý quan sát và xử lý tình huống.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[909.2, 339.3, 1246.0, 532.2]|p05_b02|0.98
VF 5||Hệ thống hỗ trợ lái nâng cao ADAS|Hỗ trợ đỗ phía sau|Cụm cảm biến phía sau phát hiện chướng ngại vật và gửi cảnh báo, hỗ trợ bạn đỗ xe an toàn.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|5|[1276.3, 339.3, 1609.7, 532.2]|p05_b02|0.98
VF 5||Nội thất & Tiện nghi|Ra lệnh bằng giọng nói|Trợ lý ảo ViVi giúp điều khiển dễ dàng các tính năng trên xe như điều hòa, giải trí, bản đồ và nhiều hơn thế, chỉ bằng giọng nói.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|6|[909.2, 117.9, 1335.2, 192.9]|p06_b02|0.98
VF 5||Nội thất & Tiện nghi|Hỏi đáp thông tin & hỗ trợ nâng cao|Trợ lý ảo ViVi có khả năng hỏi đáp những câu hỏi cơ bản như tin tức, thời tiết, truyện cười – mang đến trải nghiệm lái xe sinh động và trọn vẹn hơn.||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|6|[909.2, 219.7, 1338.6, 344.7]|p06_b02|0.98
VF 5||Nội thất & Tiện nghi|Độ chính xác khi nhận diện ngôn ngữ Tiếng Việt|98|%|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|6|[62.3, 437.5, 431.0, 519.7]|p06_b02|0.98
VF 5||Nội thất & Tiện nghi|Nghe hiểu được ngôn ngữ tiếng Việt đa vùng miền|Có||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|6|[250.9, 437.5, 463.0, 520.3]|p06_b02|0.98
VF 5|VF 5|Ngoại thất|Đầu xe|Thiết kế chữ V đặc trưng được mạ crom tinh tế, không có lưới tản nhiệt nhờ công nghệ điện hóa||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|7|[33.7, 452.4, 210.5, 565.5]|p07_b02|0.98
VF 5|VF 5|Ngoại thất|Thân xe|Phối màu sắc độc đáo hai màu của thân và nóc xe; các chi tiết ngoại thất đồng màu của ốp ngoài gương chiếu hậu với nóc xe, tạo sự hài hòa với thân xe, tạo nên phong cách riêng của VF 5||vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|7|[210.5, 452.4, 454.6, 565.5]|p07_b02|0.98
VF 5|VF 5|Ngoại thất|Mâm xe|La-zăng hợp kim 17|inch|vf5_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/09042026/VFVN_VF%205_Brochure%20B%E1%BA%A3n%20s%E1%BB%ADa%20290126_1333PM.pdf|7|[454.6, 452.4, 926.1, 565.5]|p07_b02|0.98
