model_code|version_name|spec_category|spec_key|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 9||Kích thước|Chiều rộng|2254|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|6|[105.2, 107.1, 206.3, 226.2]|p06_b02|0.98
VF 9||Kích thước|wheelbase_mm|3149|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|6|[261.0, 357.2, 404.1, 419.7]|p06_b02|0.98
VF 9||Kích thước|Chiều dài|5119|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|6|[235.7, 395.9, 366.2, 461.3]|p06_b02|0.98
VF 9||Kích thước|Chiều cao|1697|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|6|[719.8, 253.0, 774.5, 381.0]|p06_b02|0.98
VF 9||Pin & Sạc|range_km|626|km|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|7|[595.2, 167.3, 770.3, 332.2]|p07_b02|0.98
VF 9||Động cơ & Vận hành|power_kw|402|hp|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|7|[90.1, 445.3, 319.9, 528.0]|p07_b02|0.98
VF 9||Động cơ & Vận hành|torque_nm|620|Nm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|7|[343.5, 445.3, 538.0, 528.0]|p07_b02|0.98
VF 9||Động cơ & Vận hành|drivetrain|HAI CẦU toàn thời gian (AWD)||vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|7|[537.1, 445.3, 750.1, 528.0]|p07_b02|0.98
VF 9|VF 9 ECO|Kích thước|wheelbase_mm|3149|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 45.2, 804.8, 58.3]|p14_b02|0.98
VF 9|VF 9 PLUS|Kích thước|wheelbase_mm|3149|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 45.2, 804.8, 58.3]|p14_b02|0.98
VF 9|VF 9 ECO|Kích thước|length_mm|5119|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 58.9, 804.8, 72.6]|p14_b02|0.98
VF 9|VF 9 ECO|Kích thước|width_mm|2254|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 58.9, 804.8, 72.6]|p14_b02|0.98
VF 9|VF 9 ECO|Kích thước|height_mm|1697|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 58.9, 804.8, 72.6]|p14_b02|0.98
VF 9|VF 9 PLUS|Kích thước|length_mm|5119|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 58.9, 804.8, 72.6]|p14_b02|0.98
VF 9|VF 9 PLUS|Kích thước|width_mm|2254|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 58.9, 804.8, 72.6]|p14_b02|0.98
VF 9|VF 9 PLUS|Kích thước|height_mm|1697|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 58.9, 804.8, 72.6]|p14_b02|0.98
VF 9|VF 9 ECO|Kích thước|ground_clearance_mm|174|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 73.2, 804.8, 86.3]|p14_b02|0.98
VF 9|VF 9 PLUS|Kích thước|ground_clearance_mm|184|mm|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 73.2, 804.8, 86.3]|p14_b02|0.98
VF 9|VF 9 ECO|Kích thước|Dung tích khoang chứa hành lý - Có hàng ghế cuối|212|L|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 86.9, 804.8, 100.6]|p14_b02|0.98
VF 9|VF 9 PLUS|Kích thước|Dung tích khoang chứa hành lý - Có hàng ghế cuối|212|L|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 86.9, 804.8, 100.6]|p14_b02|0.98
VF 9|VF 9 ECO|Kích thước|Dung tích khoang chứa hành lý - Gập hàng ghế cuối|926|L|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 101.2, 804.8, 114.3]|p14_b02|0.98
VF 9|VF 9 PLUS|Kích thước|Dung tích khoang chứa hành lý - Gập hàng ghế cuối|926|L|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 101.2, 804.8, 114.3]|p14_b02|0.98
VF 9|VF 9 ECO|Kích thước|Dung tích khoang chứa hành lý - Phía trước|100|L|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 114.9, 804.8, 128.6]|p14_b02|0.98
VF 9|VF 9 PLUS|Kích thước|Dung tích khoang chứa hành lý - Phía trước|100|L|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 114.9, 804.8, 128.6]|p14_b02|0.98
VF 9|VF 9 ECO|Tải trọng|Trọng lượng không tải|2.911|kg|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 142.9, 804.8, 156.6]|p14_b02|0.98
VF 9|VF 9 PLUS|Tải trọng|Trọng lượng không tải|"7 chỗ: 2.968 | 6 chỗ: 2.932"|kg|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 142.9, 804.8, 156.6]|p14_b02|0.98
VF 9|VF 9 ECO|Tải trọng|Tải trọng|550|kg|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 157.2, 804.8, 170.8]|p14_b02|0.98
VF 9|VF 9 PLUS|Tải trọng|Tải trọng|"7 chỗ: 550 | 6 chỗ: 475"|kg|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 157.2, 804.8, 170.8]|p14_b02|0.98
VF 9|VF 9 ECO|Tải trọng|Tải trọng hành lý nóc xe|75|kg|vf9_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF%209_%20Brochure.pdf|14|[108.6, 170.8, 804.8, 184.5]|p14_b02|0.98
