model_id|version_code|version_name|color_code|color_name|color_type|color_fee_vnd|interior_code|interior_name|source_url
VF5|GA12V|Plus|181Y|Sky Blue - Infinity Blanc Roof|Nâng cao|8000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF5
VF5|GA12V|Plus|CE2Q|Solar Ruby|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF5
VF5|GA12V|Plus|111U|Summer Yellow Body - Jet Black Roof|Nâng cao|8000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF5
VF5|GA12V|Plus|CE1W|Urban Mint|Nâng cao|8000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF5
VF5|GA12V|Plus|CE1V|Zenith Grey|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF5
VF5|GA12V|Plus|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF5
VF6|JB10V|Eco|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|JB10V|Eco|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|JB10V|Eco|CE1V|Zenith Grey|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|JB10V|Eco|CE1W|Urban Mint|Nâng cao|8000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|JB10V|Eco|CE2Q|Solar Ruby|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|JB12V|Plus|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|JB12V|Plus|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|JB12V|Plus|CE1V|Zenith Grey|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|JB12V|Plus|CE1W|Urban Mint|Nâng cao|8000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|JB12V|Plus|CE2Q|Solar Ruby|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF7|GC15V|Eco|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|GC15V|Eco|CE2Q|Solar Ruby|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|GC15V|Eco|CE1W|Urban Mint|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|GC15V|Eco|CE1V|Zenith Grey|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|GC15V|Eco|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|GC12V|Plus|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|GC12V|Plus|CE2Q|Solar Ruby|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|GC12V|Plus|CE1W|Urban Mint|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|GC12V|Plus|CE1V|Zenith Grey|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|GC12V|Plus|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF8|ND31V|Eco|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|CE1M|Crimson Red|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|171V|Zenith Grey - Desat Silver Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|CE22|Ivy Green|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|1V18|Infinity Blanc - Zenith Grey Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|2927|Crimson Velvet - Mystery Bronze Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|2911|Jet Black - Mystery Bronze Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|CE1M|Crimson Red|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|171V|Zenith Grey - Desat Silver Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|CE22|Ivy Green|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|1V18|Infinity Blanc - Zenith Grey Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|2927|Crimson Velvet - Mystery Bronze Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|2911|Jet Black - Mystery Bronze Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF9|NE3LV|Eco|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE1M|Crimson Red|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE1W|Urban Mint|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE22|Ivy Green|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
