model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 2|||chassis|Khung gầm & hệ thống treo|Bộ và lốp|Bộ vá lốp|Phụ kiện chính hãng||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||chassis|Khung gầm & hệ thống treo|Bộ dụng cụ kích xe|Bộ dụng cụ kích xe|Phụ kiện chính hãng||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||interior|Nội thất|Hệ thống điều hòa|Hệ thống điều hòa|Máy lạnh, chỉnh cơ||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||infotainment|Giải trí & kết nối|Màn hình thông tin lái|Màn hình thông tin lái|7 inch||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||infotainment|Giải trí & kết nối|Hệ thống âm thanh|Hệ thống âm thanh|2 loa||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||infotainment|Giải trí & kết nối|Chức năng giải trí|Chức năng giải trí|FM||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||interior|Nội thất|Ghế lái|Ghế lái|Chỉnh cơ 4 hướng||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||safety|An toàn|Móc cố định ghế trẻ em ISOFIX|Móc cố định ghế trẻ em ISOFIX|Có||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||interior|Nội thất|Bọc ghế|Chất liệu bọc ghế|Nỉ||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||interior|Nội thất|Gương chiếu hậu trong xe|Gương chiếu hậu trong xe|Chế độ ngày & đêm||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
