model_code|version_name|spec_category|spec_key|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 6||Ngoại thất|Dải Đèn Định Vị LED|Tạo Hình Cánh Chim||vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|5|[1678.7, 177.3, 1678.7, 206.8]|p05_b02|0.4
VF 6|VF 6 Plus|Ngoại thất|Đèn Pha tự động|Cải thiện tầm nhìn ban đêm||vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|5|[1678.7, 236.3, 1678.7, 265.9]|p05_b02|0.4
VF 6|VF 6 Plus|Ngoại thất|La-zăng Hợp Kim Nhôm 18 inch|Khỏe khoắn & cứng cáp||vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|5|[1678.7, 295.4, 1678.7, 325.0]|p05_b02|0.4
VF 6||Kích thước|wheelbase_mm|2730|mm|vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|5|[83.9, 384.1, 419.7, 413.6]|p05_b02|0.98
VF 6|Plus|Động cơ & Vận hành|torque_nm|310|Nm|vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|6|[83.9, 472.7, 503.6, 502.2]|p06_b02|0.98
VF 6|Eco|Động cơ & Vận hành|Phạm vi di chuyển|485|km|vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|6|[587.5, 472.7, 1007.2, 502.2]|p06_b02|0.98
VF 6|Plus|Động cơ & Vận hành|power_kw|150|kW|vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|6|[1091.1, 472.7, 1594.7, 502.2]|p06_b02|0.98
VF 6||Động cơ & Vận hành|Chế độ lái|ECO / NORMAL / SPORT||vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|6|[503.6, 472.7, 1594.7, 502.2]|p06_b02|0.98
VF 6||Ngoại thất|Màu cơ bản|Đỏ - Solar Ruby, Trắng - Infinity Blanc, Xám - Zenith Grey, Đen - Jet Black||vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|9|[1678.7, 118.2, 1678.7, 177.3]|p09_b02|0.4
VF 6||Ngoại thất|Màu nâng cao|Xanh Lá Nhạt - Urban Mint||vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|9|[1678.7, 177.3, 1678.7, 206.8]|p09_b02|0.4
VF 6|Eco|Nội thất|Màu nội thất ECO|Be - Beige, Đen - Granite Black||vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|9|[1678.7, 354.5, 1678.7, 413.6]|p09_b02|0.4
VF 6|Plus|Nội thất|Màu nội thất PLUS|Nâu Mocha - Mocha Brown, Be - Beige||vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|9|[1678.7, 413.6, 1678.7, 472.7]|p09_b02|0.4
VF 6|VF 6 Plus|Kích thước|length_mm|4241|mm|vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|11|[83.9, 29.5, 1594.7, 59.1]|p11_b02|0.98
VF 6|VF 6 Plus|Kích thước|width_mm|1834|mm|vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|11|[83.9, 29.5, 1594.7, 59.1]|p11_b02|0.98
VF 6|VF 6 Plus|Kích thước|height_mm|1580|mm|vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|11|[83.9, 29.5, 1594.7, 59.1]|p11_b02|0.98
VF 6||Kích thước|wheelbase_mm|2730|mm|vf6_brochure|https://xeotovinfast.com.vn/wp-content/uploads/2024/03/VF6_Brochure_VN.pdf|11|[83.9, 59.1, 1594.7, 88.6]|p11_b02|0.98
