model_code|version_name|spec_category|spec_key|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 8||Kích thước & Trọng lượng|wheelbase_mm|2950|mm|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|5|[282.0, 420.3, 454.6, 449.4]|p05_b02|0.98
VF 8||Kích thước & Trọng lượng|Chiều dài tổng thể|4.150|mm|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|5|[261.0, 445.3, 420.9, 476.2]|p05_b02|0.98
VF 8||Kích thước & Trọng lượng|Chiều rộng tổng thể|1.934|mm|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|5|[602.8, 414.3, 685.3, 481.0]|p05_b02|0.98
VF 8||Kích thước & Trọng lượng|Chiều cao tổng thể|1.667|mm|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|5|[653.3, 300.6, 715.6, 384.0]|p05_b02|0.98
VF 8||Ngoại thất|Gương chiếu hậu|Tích hợp sấy mặt gương, chống chói tự động, nhớ vị trí và tự động điều chỉnh khi lùi||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|5|[252.6, 135.1, 522.0, 184.5]|p05_b02|0.98
VF 8||Ngoại thất|Đèn hậu|Full LED, nổi bật với nhận diện thương hiệu VinFast||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|5|[526.2, 136.3, 627.2, 186.3]|p05_b02|0.98
VF 8|Plus|Ngoại thất|Cốp|Cốp chỉnh điện tích hợp đóng/mở cốp đá chân||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|5|[631.4, 136.3, 703.0, 188.1]|p05_b02|0.98
VF 8||Ngoại thất|Cửa sổ trời toàn cảnh*|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|6|[343.5, 84.5, 445.4, 118.5]|p06_b02|0.98
VF 8||Ngoại thất|Đèn pha|Tự động bật/tắt, điều khiển góc chiếu pha thông minh||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|6|[688.7, 145.2, 795.6, 182.2]|p06_b02|0.98
VF 8||Ngoại thất|Kính cửa trước|Cách âm 2 lớp||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|6|[479.0, 443.5, 620.5, 471.5]|p06_b02|0.98
VF 8||Ngoại thất|Kính cửa sau|Màu đen riêng tư||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|6|[356.1, 496.5, 468.1, 523.2]|p06_b02|0.98
VF 8||Ngoại thất|La-zăng*|Hợp kim 20|inch|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|6|[261.0, 539.3, 357.8, 565.5]|p06_b02|0.98
VF 8|VF 8 PLUS|Nội thất & Tiện nghi|Gương chiếu hậu chống chói tự động|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|7|[51.4, 35.7, 154.1, 61.3]|p07_b02|0.98
VF 8|VF 8 PLUS|Nội thất & Tiện nghi|Màn hình cảm ứng|15,6|inch|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|7|[698.8, 163.7, 793.9, 181.0]|p07_b02|0.98
VF 8|VF 8 PLUS|Nội thất & Tiện nghi|Vô lăng chỉnh điện|4 hướng, tích hợp sưởi và nhớ vị trí||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|7|[53.9, 195.3, 154.9, 222.0]|p07_b02|0.98
VF 8|VF 8 PLUS|Nội thất & Tiện nghi|Điều hòa tự động|2 vùng, tích hợp kiểm soát chất lượng không khí, kèm chức năng i-on hóa, lọc không khí cabin Combi 1.0||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|7|[699.6, 266.1, 806.5, 353.6]|p07_b02|0.98
VF 8|VF 8 PLUS|Nội thất & Tiện nghi|Nút bấm chuyển số|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|7|[53.9, 333.9, 172.6, 352.4]|p07_b02|0.98
VF 8|VF 8 PLUS|Nội thất & Tiện nghi|Ghế lái chỉnh điện|12 hướng, nhớ vị trí, tích hợp thông gió và sưởi||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|7|[52.2, 409.0, 162.5, 459.0]|p07_b02|0.98
VF 8|VF 8 PLUS|Nội thất & Tiện nghi|Ghế phụ chỉnh điện|10 hướng, tích hợp thông gió và sưởi||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|7|[683.6, 443.5, 792.2, 481.6]|p07_b02|0.98
VF 8|Eco|Pin & Sạc|range_km|562|km|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|8|[71.6, 447.6, 261.0, 539.3]|p08_b02|0.98
VF 8|Plus|Động cơ & Vận hành|power_kw|300|kW|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|8|[283.7, 447.6, 433.6, 539.3]|p08_b02|0.98
VF 8|Plus|Động cơ & Vận hành|torque_nm|620|Nm/rpm|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|8|[458.0, 447.6, 597.7, 539.3]|p08_b02|0.98
VF 8|Plus|Động cơ & Vận hành|Khả năng bứt tốc 0-100km/h|5,58|s|vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|8|[639.8, 447.6, 778.7, 539.3]|p08_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Cảnh báo chệch làn|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[57.2, 117.3, 170.9, 129.2]|p12_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Hỗ trợ giữ làn|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[57.2, 142.3, 160.0, 154.2]|p12_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Kiểm soát đi giữa làn|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[57.2, 166.7, 168.4, 178.6]|p12_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Giám sát hành trình thích ứng|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[57.2, 190.5, 202.1, 202.4]|p12_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Điều chỉnh tốc độ thông minh|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[57.2, 212.5, 229.8, 224.4]|p12_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Nhận biết biển báo giao thông|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[336.8, 117.3, 525.3, 129.2]|p12_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Cảnh báo va chạm phía trước|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[336.8, 142.3, 525.3, 154.2]|p12_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Cảnh báo phương tiện cắt ngang phía sau|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[336.8, 166.7, 525.3, 189.3]|p12_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Cảnh báo điểm mù|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[336.8, 203.6, 525.3, 215.5]|p12_b02|0.98
VF 8||Hệ thống hỗ trợ lái nâng cao ADAS|Cảnh báo mở cửa|Có||vf8_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF8_Brochure_03022026.pdf|12|[336.8, 227.4, 525.3, 239.3]|p12_b02|0.98
