model_id|version_code|version_name|color_code|color_name|color_type|color_fee_vnd|interior_code|interior_name|source_url
VF8|ND31V|Eco|CE22|Ivy Green|Cơ bản|0|CI11|Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|1V18|Infinity Blanc - Zenith Grey Roof|Nâng cao|12000000|CI11|Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|2927|Crimson Velvet - Mystery Bronze Roof|Nâng cao|12000000|CI11|Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND31V|Eco|2911|Jet Black - Mystery Bronze Roof|Nâng cao|12000000|CI11|Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|CE18|Infinity Blanc|Cơ bản|0|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|CE1M|Crimson Red|Cơ bản|0|CI11|Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|CE11|Jet Black|Cơ bản|0|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|171V|Zenith Grey - Desat Silver Roof|Nâng cao|12000000|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|CE22|Ivy Green|Cơ bản|0|CI12, CI11|Saddle Brown, Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|1V18|Infinity Blanc - Zenith Grey Roof|Nâng cao|12000000|CI12, CI11|Saddle Brown, Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|2927|Crimson Velvet - Mystery Bronze Roof|Nâng cao|12000000|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|ND32V|Plus|2911|Jet Black - Mystery Bronze Roof|Nâng cao|12000000|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF9|NE3LV|Eco|CE18|Infinity Blanc|Cơ bản|0|CI11|Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE1M|Crimson Red|Cơ bản|0|CI11, CI13|Granite Black, Cotton Beige|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE1W|Urban Mint|Cơ bản|0|CI11|Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE11|Jet Black|Cơ bản|0|CI11, CI13|Granite Black, Cotton Beige|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE22|Ivy Green|Nâng cao|12000000|CI11, CI13|Granite Black, Cotton Beige|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE1V|Zenith Grey|Cơ bản|0|CI11|Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE17|Desat Silver|Nâng cao|12000000|CI11|Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus|CE18|Infinity Blanc|Cơ bản|0|CI12, CI11|Saddle Brown, Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus|CE1M|Crimson Red|Cơ bản|0|CI11, CI13|Granite Black, Cotton Beige|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus|CE1W|Urban Mint|Cơ bản|0|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus|CE11|Jet Black|Cơ bản|0|CI11, CI13, CI12|Granite Black, Cotton Beige, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus|CE22|Ivy Green|Nâng cao|12000000|CI12, CI11, CI13|Saddle Brown, Granite Black, Cotton Beige|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus|CE1V|Zenith Grey|Cơ bản|0|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus|CE17|Desat Silver|Nâng cao|12000000|CI12, CI11|Saddle Brown, Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE18|Infinity Blanc|Cơ bản|0|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE1M|Crimson Red|Cơ bản|0|CI11, CI13|Granite Black, Cotton Beige|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE1W|Urban Mint|Cơ bản|0|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE11|Jet Black|Cơ bản|0|CI13, CI12, CI11|Cotton Beige, Saddle Brown, Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE22|Ivy Green|Nâng cao|12000000|CI13, CI12, CI11|Cotton Beige, Saddle Brown, Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE1V|Zenith Grey|Cơ bản|0|CI11, CI12|Granite Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE17|Desat Silver|Nâng cao|12000000|CI12, CI11|Saddle Brown, Granite Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF8NEW|HC11V|The All New|CE33|Starburst Blue|Cơ bản|0|CI12, CI11|Saddle Brown, Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|1832|Vitality Orange Body - Infinity Blanc Roof|Nâng cao|12000000|CI11|Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|1833|Starburst Blue Body - Infinity Blanc Roof|Nâng cao|12000000|CI12, CI11|Saddle Brown, Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|CE11|Jet Black|Cơ bản|0|CI11, CI12|Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
