model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_url
VF MPV 7|||interior|Nội thất|seats|Số ghế ngồi|7||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|seat_material_type|Chất liệu bọc ghế|Da nhân tạo||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|driver_seat_type|Ghế lái|Chỉnh cơ 6 hướng||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|passenger_seat_type|Ghế phụ|Chỉnh cơ 4 hướng||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|second_row_adjust|Hàng ghế thứ 2 điều chỉnh hướng|Điều chỉnh ngả lưng ghế và trượt tiến/lùi||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|second_row_fold|Hàng ghế thứ 2 gập tỷ lệ|60:40||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||safety|An toàn|isofix|Móc cố định ghế trẻ em ISOFIX|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|row3_fold|Gập hàng ghế thứ 3|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|row3_headrest|Tựa đầu ghế hàng 3|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|steering_wheel_type|Loại vô lăng|Chỉnh cơ 4 hướng||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|steering_wheel_wrap|Bọc vô lăng|Da nhân tạo||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
